,sabor,variedad,servicio,ambiente,precio,higiene,ubicación,1,2,3,4,5,name,average_rating,total_user_ratings
ChIJ_6PxIP_-0YURb-iv-Yq3gPM,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,6,19,35,La Cocina Tradicional Mexicana,4.5,104
ChIJ06Wq3J4BzoUREnZuxiDcPo8,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,2,4,29,Candelilla 16,4.6,73
ChIJ0-IjfKoDzoURrhSoInEmyrs,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,0,0,5,36,Antojitos Méxicanos Don Max,4.7,94
ChIJ0RedUVYCzoURQcJ0Bo5LJew,"{'positive': 3, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",0,1,3,12,41,Rico Amanecer,4.6,108
ChIJ0Vr0QeUB0oURZfWZGMhVCpg,"{'positive': 5, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,3,1,16,72,El Lago Restaurante,4.5,4939
ChIJ21LyB_f_0YURW_F1RfqWhiI,"{'positive': 7, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 2, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,1,5,11,49,Guadiana,4.6,643
ChIJ2aMgewj_0YURpdcFaz8FMgs,"{'positive': 9, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 1, 'negative': 2}","{'positive': 1, 'negative': 0}","{'positive': 0, 'negative': 0}",1,3,5,19,65,Hanal K'U,4.5,484
ChIJ2bbY7Dv-0YURUiiWvISOsIM,"{'positive': 4, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 1}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",7,3,8,16,61,Carnitas Don Rafa,4.3,856
ChIJ2YvzBf7_0YUR8sk-6mA9wG8,"{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 1}","{'positive': 0, 'negative': 0}","{'positive': 2, 'negative': 0}","{'positive': 0, 'negative': 0}",2,2,4,9,61,El Gnomo,4.6,2375
ChIJ3xty5nT_0YUR3YiY2g8h1b0,"{'positive': 10, 'negative': 0}","{'positive': 0, 'negative': 0}","{'positive': 3, 'negative': 2}","{'positive': 2, 'negative': 0}","{'positive': 1, 'negative': 2}","{'positive': 0, 'negative': 0}","{'positive': 0, 'negative': 0}",2,1,7,19,58,Las Polas del Valle,4.5,911
