place_id,name,user_ratings_total,rating,price_level,sunday_open,sunday_close,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close
ChIJ_6PxIP_-0YURb-iv-Yq3gPM,La Cocina Tradicional Mexicana,104,4.5,,0,0,800,1700,800,1700,800,1700,800,1700,800,1700,930,1700
ChIJ06Wq3J4BzoUREnZuxiDcPo8,Candelilla 16,73,4.6,,0,0,0,0,0,0,0,0,0,0,0,0,1400,1830
ChIJ0-IjfKoDzoURrhSoInEmyrs,Antojitos Méxicanos Don Max,94,4.7,1,1930,2200,0,0,0,0,0,0,0,0,1930,2330,1930,2330
ChIJ0RedUVYCzoURQcJ0Bo5LJew,Rico Amanecer,108,4.6,,0,0,900,2200,900,2200,900,2200,900,2200,900,2200,1000,2200
ChIJ0Vr0QeUB0oURZfWZGMhVCpg,El Lago Restaurante,4939,4.5,3,830,1730,730,1730,730,1730,730,1730,730,1730,730,1730,730,1730
ChIJ21LyB_f_0YURW_F1RfqWhiI,Guadiana,643,4.6,3,1330,1900,1330,2300,1330,2300,1330,2300,1330,2300,1330,2300,1330,2300
ChIJ2aMgewj_0YURpdcFaz8FMgs,Hanal K'U,484,4.5,2,1230,1800,0,0,0,0,1230,1800,1230,1800,1230,1800,1230,1800
ChIJ2bbY7Dv-0YURUiiWvISOsIM,Carnitas Don Rafa,856,4.3,2,900,1800,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700
ChIJ2YvzBf7_0YUR8sk-6mA9wG8,El Gnomo,2375,4.6,2,1000,2000,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
ChIJ3xty5nT_0YUR3YiY2g8h1b0,Las Polas del Valle,911,4.5,2,1230,1830,1230,1830,1230,1830,1230,1830,1230,1830,1230,1830,1230,1830
ChIJ48KvaD7_0YURhzmZCryLbSw,Mercado Medellín,10951,4.3,,830,1800,830,1900,830,1900,830,1900,830,1900,830,1800,830,1900
ChIJ4ftOXEH-zYUREp_SkJ49kVI,TORTAS AHOGADAS EL CHIFLADERO GDL,389,4.6,2,1200,1800,0,0,0,0,1300,1800,1300,1800,1300,1800,1200,1800
ChIJ6aAgy3740YURlAM6t3ylxuk,La Perla Tapatía Azcapotzalco,1345,4.6,2,800,1800,800,1900,800,1900,800,1900,800,1900,800,1900,800,1900
ChIJ6QlgPHr40YURLu6gEG4Y5m0,"Las Klauyudas, tlayudas y antojitos oaxaqueños",87,4.6,,1400,2000,0,0,1400,2000,1400,2000,1400,2000,1400,2000,1400,2000
ChIJ7w5HFPj_0YURHTyE1LwPB_c,Restaurante El Cardenal,7123,4.7,3,830,1830,800,1830,800,1830,800,1830,800,1830,800,1830,800,1830
ChIJ7WAfwbv_0YURiSIZGMdRuto,Tlayudas el Tasajo,1146,4.5,1,900,2200,1300,2200,800,2200,800,2200,800,2200,800,2200,800,2200
ChIJ9fq-YdH-0YURa3zaK7Gz8lc,Zéfiro,301,4.7,2,0,0,0,0,1300,1700,1300,1700,1300,1700,1300,1700,1300,1800
ChIJa1lZNZ__0YURjDHz4gNWVQc,Hostal de Los Quesos,4090,4.3,2,830,200,830,0,830,100,830,100,830,100,830,100,830,200
